----- Trial 1, 2 Distractions -----
749,G
463,G
711,B
958,R
372,B
407,B
455,G
489,R
290,G
501,B
838,G
449,B
624,B
702,G
605,R
495,B
445,R
327,B
465,G
432,B
375,G
541,G
512,G
401,B
410,B
333,G
392,G
378,R
498,R
614,B
337,B
421,B
261,G
374,B
507,B
698,R
436,R
355,R
346,R
603,G
425,G
483,R
411,R
300,B
332,B
378,B
413,G
680,G
387,G
531,B
430,R
288,G
510,G
579,R
885,G
614,R
304,G
299,B
386,G
499,R
556,G
805,R
752,G
----- Trial 2, 0 Distractions -----
449,R
397,B
352,R
534,G
601,B
318,G
417,G
518,G
441,G
424,G
375,R
339,B
346,G
384,R
372,B
405,B
292,G
387,G
554,B
391,G
322,G
442,B
436,G
383,G
648,G
371,R
408,R
411,B
306,G
342,G
392,R
344,G
394,B
515,G
595,B
224,G
378,R
357,B
638,B
430,B
338,G
563,R
749,B
405,B
354,R
480,B
505,B
350,G
386,G
268,G
338,G
387,B
442,B
264,R
375,B
485,R
513,R
381,B
296,G
388,B
292,G
345,B
277,G
363,R
371,B
311,G
253,B
408,B
540,R
470,R
318,B
313,R
510,B
285,G
443,B
----- Trial 3, 1 distraction -----
442,R
362,G
446,R
385,G
414,R
422,G
440,R
601,B
268,G
646,B
1526,B
739,R
760,B
250,B
458,G
543,B
1187,B
472,G
368,G
390,R
335,G
314,G
390,R
539,R
451,B
365,G
526,G
372,G
319,G
558,B
445,B
240,G
298,G
293,G
314,G
321,G
318,G
247,G
453,R
353,G
716,R
664,G
491,G
230,B
410,R
982,G
521,R
474,B
671,R
749,R
299,G
483,B
481,R
413,B
327,G
592,R
551,B
290,G
384,B
